"id","first_name","last_name","address","city","phone_number"
"default","George","Franklin","110 W. Liberty St.","Madison","6085551023"
"default","Betty","Davis","638 Cardinal Ave.","Sun Prairie","6085551749"
"default","Eduardo","Rodriquez","2693 Commerce St.","McFarland","6085558763"
"default","Harold","Davis","563 Friendly St.","Windsor","6085553198"
"default","Peter","McTavish","2387 S. Fair Way","Madison","6085552765"
"default","Jean","Coleman","105 N. Lake St.","Monona","6085552654"
"default","Jeff","Black","1450 Oak Blvd.","Monona","6085555387"
"default","Maria","Escobito","345 Maple St.","Madison","6085557683"
"default","David","Schroeder","2749 Blackhawk Trail","Madison","6085559435"
"default","Carlos","Estaban","2335 Independence La.","Waunakee","6085555487"
